dist,type,subtype,date,cost,address,purpose,lat,lon
6,Building Residential New Storm Damage,Single Family Residence,2021-05-13T00:00:00.000,220000,2504  BRITTANY DR,CHANGE OF CONTRACTOR - same scope of work as permit  2020021154 - to demo to foundation and rebuild.,36.175626,-86.718367
6,Building Residential Rehab Storm Damage,Single Family Residence,2021-05-14T00:00:00.000,45000,1912  HOLLY ST,"Complete renovation of a storm damaged house. New electrical service roof repairs and interior finishes.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.174872,-86.735492
6,Building Residential New Storm Damage,"Accessory Structure, Carport",2021-09-20T00:00:00.000,18547,1905B  HOLLY ST,"building 384 sq ft Carport.  NOT TO BE USED FOR LIVING OR COMMERCIAL PURPOSES.  MHZC MUST REVIEW APPLICATION.  FOR EVERY 50' SITE FRONTAGE, A 24  X 36  D/F SIGN MUST BE PLACED IN ENGLISH AND SPANISH WITH INFORMATION IN REGARDS TO METRO COUNCIL BILL 2017-835.",36.174927,-86.736178
6,Building Commercial Rehab Storm Damage,Commercial Storm Damage Generic,2021-08-10T00:00:00.000,1436000,905  MAIN ST,"Renovation of 2nd floor with associated renovation of stair and elevator lobby. Exterior upgrades to existing building for new primary care clinic. No change to building footprint. No sidewalks required Per ZA, 17.20.120(3)(d). POC: Po-Page Onge, 615-347-0912.",36.176346,-86.756209
6,Building Commercial New Storm Damage,"Furniture Store, Dept/Retail Stores",2021-03-09T00:00:00.000,2028362,966  WOODLAND ST  BLDG ON RI,"Rebuild of existing 2-story mixed-use building  damaged
and destroyed, respectively, by the March tornado. 5,848 sf per floor (total 11,696sf). The second floor has an existing balcony and outdoor terrace at 40 sf an 376 sf, respectively. Shell permit. Tenants will obtain their own separate finish out permits. 
POCC Michelle Beauvais 615-850-5524
Referred to as Building 1",36.176695,-86.752076
6,Building Commercial New Storm Damage,"Retail, Department / Retail Stores",2021-03-09T00:00:00.000,2177197,970  WOODLAND ST,"Shell permit for Building 2: 3,547 sf ground floor. The second level consists of a 425 sf stair and elevator core (gross) and then an outdoor roof terrace (1323 gross sf).  Future tenant to obtain its own finish out and U&O

POC  Michelle Beauvais AIA, LEED AP
Referred to as building 2


EOA Architects PLLC
humanizing design 
515 Main Street
Nashville, TN  37206

615.850.5524  Direct 
615.242.4004  Office  
318.376.1123  Mobile",36.176704,-86.752054
6,Building Commercial Rehab Storm Damage,"General Office, Professional Services",2021-06-14T00:00:00.000,1,110 S 10TH ST  BLDG ON RI,"Tenant Improvements for second floor tenant space in Hill Center Five Points, reference T2021010043. TORNADO DAMAGE. EXPEDITE
Shell building address is 966 Woodland St. POC Michelle Beauvais 615-850-5524.",36.176076,-86.751621
6,Building Residential Rehab Storm Damage,Single Family Residence,2021-01-29T00:00:00.000,452394,1521  RUSSELL ST,"Restore mixed use building from tornado damage.  remains single family residence.  MHZC must review application.  subject to inspectors approval.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.17445,-86.742467
6,Building Demolition Permit,Demolition Permit - Residential,2021-05-27T00:00:00.000,12950,1809C  HOLLY ST,demolish and remove storm damaged structure,36.17503,-86.737356
6,Building Residential New Storm Damage,"Accessory Structure, Garage",2020-09-25T00:00:00.000,30139,1502  HOLLY ST,"RECVD RESTRICTIVE COVENANT FOR DETACHED STRUCTURE 20210630-0088621
ROBINSON1 (07-01-2021 07:39AM 

to construct 624SF detached garage to the rear of existing single family residence not to be used for living space or commercial purposes. 
must comply with hcn2020034340
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.175639,-86.743857
6,Building Commercial Rehab Storm Damage,"Retail, Department / Retail Stores",2021-02-25T00:00:00.000,603264,961  WOODLAND ST,"To renovate and restore the Asphalt Beach skate shop damaged in the tornado back to its prior use and function.
POC TYLER ROBINSON 270-750-0061",36.176692,-86.752084
6,Building Residential - Rehab,Single Family Residence,2021-11-09T00:00:00.000,45000,949  RUSSELL ST,"Repair storm damage to house, will require plumbing, HVAC electrical.  MHZC MUST REVIEW APPLICATION.  FOR EVERY 50' SITE FRONTAGE, A 24  X 36  D/F SIGN MUST BE PLACED IN ENGLISH AND SPANISH WITH INFORMATION IN REGARDS TO METRO COUNCIL BILL 2017-835.",36.175438,-86.752142
6,Building Demolition Storm Damage,Demolition Permit - Residential,2021-07-29T00:00:00.000,6000,2661  BARCLAY DR,"***MARCH 3, 2020 TORNADO DAMAGE***

TO DEMOLISH EXISTING RESIDENCE.  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT MUST SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION. 

POC: DARLENE POUNDERS 615-294-5354

***PURSUANT TO ORDINANCE NO. 2006-1263 OF THE METROPOLITAN CODE OF LAWS, I (THE HOLDER ON THIS PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL.   FURTHER, I CERTIFY THAT NO CONSTRUCTION AND DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF THE METROPOLITAN CODE***",36.173657,-86.719959
6,Building Demolition Storm Damage,Demolition Permit - Residential,2020-04-03T00:00:00.000,8000,1903  HOLLY ST,"Estimated demo cost $8,000.00. Demo is due to tornado related damage from March 3, 2020.  not to be burned on lot.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.174944,-86.736383
6,Building Commercial Rehab Storm Damage,"Retail, Department / Retail Stores",2021-08-03T00:00:00.000,50000,715  MAIN ST,"***MARCH 3 2020 TORNADO DAMAGE***

TO REPLACE FRONT CANOPY, REHAB COURTYARD, ADD GAS FIREPLACES FOR URBAN WINERY. MDHA OVERLAY.

POC WILL JENNER 615-268-9887",36.175009,-86.759677
6,Building Commercial - Roofing / Siding,Hotel / Motel,2021-10-06T00:00:00.000,450000,811  MAIN ST,"to replace storm damaged roof of existing building for Fieldhouse Jones.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***  
  ������������������  
CODE STAMPED PLANS ATTACHED IN CITYWORKS",36.175705,-86.757895
6,Building Commercial Rehab Storm Damage,"Recreation Center, Community Halls",2021-11-18T00:00:00.000,1847012,1011  RUSSELL ST,"The tornado damaged Y-CAP YMCA building existing facility is one story at approximately 9,000 gsf of Type IIIB construction and non-sprinklered. This project will include the renovation of the existing facility that was damaged in the March 3rd, 2020 tornado and the addition of a 2,000 gsf interior second floor for administration offices and a 790 gsf rooftop amenity deck. The project is surface parked at the rear with the allowed reduction in spaces per BZA Appeal Case #97-182. Must comply with Neighborhood Conservation Overlay. Please reference Historical Commission Permit Review: 2021027404 YMCA

POC SAMANTHA OLEARY 615-743-9382",36.175783,-86.751042
6,Building Residential - Rehab,"Accessory Structure, Garage",2021-11-30T00:00:00.000,40000,200 S 11TH ST,"to rehab storm damaged detached garage damaged in March 2020 tornado.  not to be used for living or commercial purposes.  MHZC must review application.  no increase to building footprint.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.175586,-86.750143
